image_id,caption,pred_label,label_text,confidence,reason,raw_output,true_label,text,category,image_description
819434366954799104,wtf is this ? haha <user> seems like there is a misconception ..,1,SARCASM,High,"The caption ""wtf is this ? haha <user> seems like there is a misconception .."" suggests amusement or disbelief, which aligns with the identified textual incongruity in the image where ""4GB-RAM AND 32GB of RAM"" redundantly mentions RAM, a known mistake in tech specifications. Moreover, the hand-drawn elements highlighting the redundant text further support the sarcastic interpretation by emphasizing the error as a point of humor. This creates a semantic gap between the expected precision in specifications and the actual text, reinforcing the sarcastic tone.","LABEL: SARCASM  
CONFIDENCE: High  
REASON: The caption ""wtf is this ? haha <user> seems like there is a misconception .."" suggests amusement or disbelief, which aligns with the identified textual incongruity in the image where ""4GB-RAM AND 32GB of RAM"" redundantly mentions RAM, a known mistake in tech specifications. Moreover, the hand-drawn elements highlighting the redundant text further support the sarcastic interpretation by emphasizing the error as a point of humor. This creates a semantic gap between the expected precision in specifications and the actual text, reinforcing the sarcastic tone.",1,wtf is this ? haha <user> seems like there is a misconception ..,SARCASM_CLEAR,"1. **OVERALL SCENE**: The image features a close-up of a hand holding a smartphone with a highlighted text beneath it.

2. **OBJECTS & POSITIONS**: 
   - Smartphone: Center, held upright in the hand.
   - Text: Bottom part of the image.
   - Arrow and circle drawing: Drawn around the text, pointing to the highlighted part.

3. **PEOPLE**: 
   - Hand visible, holding the phone.
   - Skin tone suggests it's a human hand, but no other details.

4. **TEXT/GRAPHICS**:
   - Text states: ""Moto G5-Plus 5.5-inch full-HD display 4GB-RAM AND 32GB of RAM""
   - Arrow and circle graphics suggest highlighting or pointing out part of the text.

5. **COLORS & TONE**:
   - The smartphone has a metallic gray tone.
   - Text is green, and background is a dim indoor setting.
   - Lines and arrows are blue.

6. **IRONY/INCONGRUITY**:
   - The text about the phone's specifications repeats the phrase “of RAM” which may suggest an error or redundancy.
   - The combination of 4GB-RAM and 32GB may cause confusion or seem incorrect, likely highlighted by the drawn circle and arrow."
713360329762189313,word,1,SARCASM,High,"The caption ""word"" starkly contrasts with the playful and ironic message in the image, which humorously personifies items like eyelashes and shooting stars as if they have the responsibility to fulfill wishes. The textual content implicitly mocks the superstition by stating ""DO YOUR JOB"" to these symbols, which creates a semantic misalignment with the literal, nondescriptive caption. The incongruity between the expectation of seriousness in the word and the humor in the image's message strongly suggests sarcasm.","LABEL: SARCASM  
CONFIDENCE: High  
REASON: The caption ""word"" starkly contrasts with the playful and ironic message in the image, which humorously personifies items like eyelashes and shooting stars as if they have the responsibility to fulfill wishes. The textual content implicitly mocks the superstition by stating ""DO YOUR JOB"" to these symbols, which creates a semantic misalignment with the literal, nondescriptive caption. The incongruity between the expectation of seriousness in the word and the humor in the image's message strongly suggests sarcasm.",1,word,SARCASM_CLEAR,"1. **OVERALL SCENE**
   - The image is a digital graphic consisting mainly of text on a plain background.

2. **OBJECTS & POSITIONS**
   - There are no physical objects present. 
   - Text is centrally positioned on the image.

3. **PEOPLE**
   - There are no people depicted in the image.

4. **TEXT/GRAPHICS**
   - Top part: ""Dear eyelashes, wishbones, dandelions, pennies, shooting stars, 11:11, and birthday candles,""
   - Bottom part: ""DO YOUR JOB.""
   - The bottom text ""DO YOUR JOB."" is emphasized with a bolder and more distinct style.

5. **COLORS & TONE**
   - Background is black.
   - Text is white, providing high contrast with the background.
   - Tone is straightforward with emphasis on the bottom phrase.

6. **IRONY/INCONGRUITY**
   - The text refers to common objects and moments people associate with making wishes, humorously implying they have a job to fulfill—making wishes come true."
880843375699734528,"<user> these people r nuts , all they need <num> do is wait a couple of years when u aren 't popular anymore & get an autograph then .",1,SARCASM,High,"The caption describes people as ""nuts"" for eagerly seeking autographs now instead of waiting until the individual is ""not popular anymore,"" illustrating verbal irony by suggesting it's more sensible to wait for unpopularity to obtain an autograph, a scenario that undermines typical fandom behavior. The lively scene with people casually gathered at a leisure venue around the ""44 garage"" building doesn't align with competitiveness or urgency associated with celebrity environments, thereby creating a semantic gap between the image’s normal social interaction and the caption’s sarcastic suggestion about fame and autograph value.","LABEL: SARCASM
CONFIDENCE: High
REASON: The caption describes people as ""nuts"" for eagerly seeking autographs now instead of waiting until the individual is ""not popular anymore,"" illustrating verbal irony by suggesting it's more sensible to wait for unpopularity to obtain an autograph, a scenario that undermines typical fandom behavior. The lively scene with people casually gathered at a leisure venue around the ""44 garage"" building doesn't align with competitiveness or urgency associated with celebrity environments, thereby creating a semantic gap between the image’s normal social interaction and the caption’s sarcastic suggestion about fame and autograph value.",1,"<user> these people r nuts , all they need <num> do is wait a couple of years when u aren 't popular anymore & get an autograph then .",SARCASM_CLEAR,"1. **OVERALL SCENE**: The image captures a crowd of people walking on a paved surface outside a building that resembles a garage.

2. **OBJECTS & POSITIONS**: 
   - **Top-left**: Part of a red building with a sign that reads ""44 garage.""
   - **Center**: People gathered and moving in different directions.
   - **Bottom-right**: Children appear to be interacting or playing.

3. **PEOPLE**:
   - **Expressions**: Not clearly visible, but they appear to be casually engaging or walking.
   - **Clothing**: Casual summer attire, such as shorts, t-shirts, and caps.
   - **Position**: Groups and pairs of people standing or walking around the area.

4. **TEXT/GRAPHICS**: ""44 garage"" printed in a white circle on the red wall of the building.

5. **COLORS & TONE**: Bright, natural colors with a clear blue sky, red building, and various colorful clothing items creating a lively atmosphere.

6. **IRONY/INCONGRUITY**: The setting suggests a busy and possibly exciting event, yet the presence of the term ""garage"" contrasts with the vibrant outdoor crowd, hinting at a juxtaposition between the typical utility of a garage and the lively social gathering happening outside it."
897650161777815552,winning fill the car up at the servo & get this beautiful bracelet for the wife . you think of everything .,1,SARCASM,High,"The caption suggests sarcasm by implying that a mere keychain, normally not considered a luxury item or an impressive gift for a spouse, is a ""beautiful bracelet"" received by ""winning"" at filling up a car—which is comically contrasted with the actual prize of a luxury shopping trip suggested in the advertisement. The semantic gap between the supposed ""prize"" (a keychain) and the real promotional offer highlights a sarcastic tone. Furthermore, the incredulous phrase ""you think of everything"" enhances the sarcastic suggestion, as it feigns gratitude for something that doesn't align with the advertised luxury and style context.","LABEL: SARCASM  
CONFIDENCE: High  
REASON: The caption suggests sarcasm by implying that a mere keychain, normally not considered a luxury item or an impressive gift for a spouse, is a ""beautiful bracelet"" received by ""winning"" at filling up a car—which is comically contrasted with the actual prize of a luxury shopping trip suggested in the advertisement. The semantic gap between the supposed ""prize"" (a keychain) and the real promotional offer highlights a sarcastic tone. Furthermore, the incredulous phrase ""you think of everything"" enhances the sarcastic suggestion, as it feigns gratitude for something that doesn't align with the advertised luxury and style context.",1,winning fill the car up at the servo & get this beautiful bracelet for the wife . you think of everything .,SARCASM_CLEAR,"1. **OVERALL SCENE**: The image appears to be an advertisement combining fashion and shopping incentives.

2. **OBJECTS & POSITIONS**: 
   - **Top-left**: Logos of Caltex and Myer.
   - **Center**: Large text promoting fashion and a shopping contest.
   - **Bottom-right**: An arm with a hand wearing a bracelet.

3. **PEOPLE**: 
   - Only a woman's hand is visible, positioned vertically with relaxed fingers. The wrist has a bracelet with a Caltex logo.

4. **TEXT/GRAPHICS**:
   - Main text: ""FUEL YOUR LOVE OF FASHION.""
   - Subtext: ""WIN a luxury shopping trip to LA, plus a share of $10K StarCash. Simply spend over $30 and scan your MYER one card to enter.""
   - Graphic: Illustration of a shopping bag.

5. **COLORS & TONE**:
   - Background: Dark green and red with some light blue. 
   - Text: White and black for contrast. The overall tone is promotional and vibrant.

6. **IRONY/INCONGRUITY**:
   - The juxtaposition of a fuel company (Caltex) with fashion and shopping, highlighting a potential incongruity in branding focus."
822591633233506308,this moron really ran our country for 8 years,1,SARCASM,High,"The caption ""this moron really ran our country for 8 years"" uses the word ""moron,"" which is verbally ironic, as it implies foolishness. This is incongruous with the likely identity of ""Person A"" as a figure of authority, suggested by the formal attire and context of someone being supported by others. The image shows an older male (Person A) struggling humorously with a simple task of putting on a poncho. The semantic gap between the caption's insinuation of incompetence in a significant role and the light-hearted scene depicting trivial difficulty creates a sarcastic tone.","LABEL: SARCASM
CONFIDENCE: High
REASON: The caption ""this moron really ran our country for 8 years"" uses the word ""moron,"" which is verbally ironic, as it implies foolishness. This is incongruous with the likely identity of ""Person A"" as a figure of authority, suggested by the formal attire and context of someone being supported by others. The image shows an older male (Person A) struggling humorously with a simple task of putting on a poncho. The semantic gap between the caption's insinuation of incompetence in a significant role and the light-hearted scene depicting trivial difficulty creates a sarcastic tone.",1,this moron really ran our country for 8 years,SARCASM_CLEAR,"1. **OVERALL SCENE**: The image is a collage of four photos taken at an outdoor event where people are seated in rows. The scene appears formal, with individuals dressed formally and sitting closely together.

2. **OBJECTS & POSITIONS**: 
   - **Top-left**: A person handling a transparent plastic sheet, possibly a rain poncho.
   - **Top-right**: The same person struggling to put on the plastic sheet.
   - **Bottom-left**: Someone sitting in front with a calm expression, facing forward.
   - **Bottom-right**: The first person now looks satisfied, having successfully put on the plastic sheet.

3. **PEOPLE**:
   - A person (cannot be identified) wearing a suit, initially looking confused and adjusting a plastic poncho in the top row images.
   - In the bottom-left, another person (cannot be identified) wearing a dark suit, looking forward with a composed expression.
   - In the bottom-right, the person with the poncho looks relaxed and smiles slightly, indicating relief.

4. **TEXT/GRAPHICS**: No text or graphics are present in the images.

5. **COLORS & TONE**: Dominant colors are dark suits, white ponchos, and some red clothing visible in the background. The tone is formal yet humorous due to the actions depicted.

6. **IRONY/INCONGRUITY**: The contrast between the formal setting and the awkward struggle with the plastic poncho adds a humorous element. The juxtaposition of expressions—from confusion to relief—enhances the incongruity."
818430536045604866,at art <num> fest jan 13-15 byculla mumbai . <user> <user> <user>,0,NOT SARCASM,High,"The caption ""at art <num> fest jan 13-15 byculla mumbai"" is informative, simply stating event details, and aligns well with the image description. The image depicts a promotional poster for a comedy event with specific dates and the same city location, Mumbai, mentioned. There are no semantic gaps, verbal irony, or incongruous elements present in the post that suggest sarcasm.","LABEL: NOT SARCASM  
CONFIDENCE: High  
REASON: The caption ""at art <num> fest jan 13-15 byculla mumbai"" is informative, simply stating event details, and aligns well with the image description. The image depicts a promotional poster for a comedy event with specific dates and the same city location, Mumbai, mentioned. There are no semantic gaps, verbal irony, or incongruous elements present in the post that suggest sarcasm.",1,at art <num> fest jan 13-15 byculla mumbai . <user> <user> <user>,SARCASM_SUBTLE,"1. **OVERALL SCENE**: The image is a promotional poster for an event titled ""Oye... Stand Up!"" featuring Mohit Sharma and Ankita Shrivastav. It includes information about the event and visuals of the performers.

2. **OBJECTS & POSITIONS**:
   - **Top-Left**: Logo and text ""Ambal's Oye... Stand Up! #02"".
   - **Center**: Photos of the performers.
   - **Bottom-Right**: Event details, entry fees, venue information.

3. **PEOPLE**:
   - Two individuals are in the center photo.
   - Both are smiling; the man is on the left wearing a black shirt, and the woman on the right is wearing a black top.
   - Additional smaller images show a man and a woman interacting, positioned in the bottom-left.

4. **TEXT/GRAPHICS**:
   - ""ART 35 Young Affordable Art"" is at the top-right.
   - Event details include title, performers’ names, date, time, entry fees, and venue location.
   - Contact information is at the bottom-right.

5. **COLORS & TONE**:
   - Predominantly black, white, and yellow/orange text.
   - Bright and bold for emphasis; professional, straightforward layout.

6. **IRONY/INCONGRUITY**:
   - The title ""Oye... Stand Up!"" suggests comedy despite the serious format of a formal poster.
   - The performers' smiling faces contrast with the formal event details, creating an amusing juxtaposition."
921779205842657280,"salina central state qualifiers 2017 . sorry , but you have one more week of practice .",0,NOT SARCASM,High,"The caption ""salina central state qualifiers 2017 . sorry , but you have one more week of practice ."" is straightforward in its communication, referring to an additional week of practice before a cross-country event. The image shows a group of young people happily smiling outdoors, dressed in cross-country-related attire, which aligns with the setting described in the caption. There is no semantic gap between the text and image, and no irony or incongruity is evident; rather, the happy expressions and team spirit conveyed by the image support the notion of them being successful and qualifying for state, making the caption sincere and non-sarcastic.","LABEL: NOT SARCASM  
CONFIDENCE: High  
REASON: The caption ""salina central state qualifiers 2017 . sorry , but you have one more week of practice ."" is straightforward in its communication, referring to an additional week of practice before a cross-country event. The image shows a group of young people happily smiling outdoors, dressed in cross-country-related attire, which aligns with the setting described in the caption. There is no semantic gap between the text and image, and no irony or incongruity is evident; rather, the happy expressions and team spirit conveyed by the image support the notion of them being successful and qualifying for state, making the caption sincere and non-sarcastic.",1,"salina central state qualifiers 2017 . sorry , but you have one more week of practice .",SARCASM_SUBTLE,"1. **OVERALL SCENE**: The image depicts four young individuals posing together outdoors, exuding a sense of camaraderie and friendship. The background is filled with greenery, indicating a natural setting, such as a park or forest.

2. **OBJECTS & POSITIONS**: 
   - **Foreground**: Grass on the ground where the people are standing.
   - **Background**: Dense bushes or trees fill the backdrop.
   - **Top-Left**: Part of the foliage.
   - **Center**: The group of four people standing close together.
   - **Bottom-Right**: Part of the ground and possibly more foliage.

3. **PEOPLE**: 
   - All four are smiling, suggesting a pleasant or celebratory mood.
   - **Clothing**: Two are wearing maroon shirts and athletic shorts, one is in a white sweatshirt with matching shorts, and one in a grey sweatshirt and shorts. All clothing features the same ""MUSTANG XC CROSS COUNTRY"" logo.
   - They are standing closely together, with arms around each other's shoulders.

4. **TEXT/GRAPHICS**: 
   - The shirts display the text ""MUSTANG XC CROSS COUNTRY"" with a stylized logo including arrows.
   - The text is prominently centered on their clothing, associating them with a team or event.

5. **COLORS & TONE**: 
   - The color palette includes maroon, white, grey, and black for clothing, with natural greens and browns in the background. 
   - The overall tone is casual and relaxed.

6. **IRONY/INCONGRUITY**: 
   - All elements appear consistent with a team or sports event; there is no obvious visual or contextual irony/incongruity in the image."
690561903580418048,"expecting ? sorry . it 's friday , i 'm too tired .",0,NOT SARCASM,Medium,"The caption ""expecting ? sorry . it 's friday , i 'm too tired ."" does not directly align with any specific visual elements within the comic-style image, as it discusses tiredness and expectation—a separate context from the man's smile and humorous assertion regarding animals and friendship. The image's mood is light-hearted, fitting with the playful sentiment in the speech bubble, suggesting intentional humor rather than sarcasm. There is no clear semantic gap or contradiction between the visual and textual content to necessitate a sarcastic interpretation.","LABEL: NOT SARCASM  
CONFIDENCE: Medium  
REASON: The caption ""expecting ? sorry . it 's friday , i 'm too tired ."" does not directly align with any specific visual elements within the comic-style image, as it discusses tiredness and expectation—a separate context from the man's smile and humorous assertion regarding animals and friendship. The image's mood is light-hearted, fitting with the playful sentiment in the speech bubble, suggesting intentional humor rather than sarcasm. There is no clear semantic gap or contradiction between the visual and textual content to necessitate a sarcastic interpretation.",1,"expecting ? sorry . it 's friday , i 'm too tired .",SARCASM_SUBTLE,"1. **OVERALL SCENE**  
   The image shows an illustration of a man's face alongside a speech bubble containing text.

2. **OBJECTS & POSITIONS**  
   - **Top-left**: Partial view of a man's face.
   - **Center**: White speech bubble with text.
   - **Background**: Yellow backdrop with black abstract patterns.

3. **PEOPLE**  
   - The man has a slight smirk and raised eyebrows.
   - He has dark hair with white highlights.
   - Only part of his face is visible.

4. **TEXT/GRAPHICS**  
   - Inside the speech bubble:  
     - ""ANIMALS ARE MY FRIENDS."" (black text, uppercase)
     - ""I DON'T EAT MY FRIENDS."" (red text, uppercase)

5. **COLORS & TONE**  
   - Predominantly black, white, red, and yellow.
   - Cartoonish style with a retro tone.

6. **IRONY/INCONGRUITY**  
   - The text contrasts the idea of friendship with the act of eating, hinting at a possible humorous or ironic intent."
828966943214432256,so proud of <user> 's efforts to fill the swamp with republican donors . great job .,0,NOT SARCASM,Low,"Without a detailed image description, it is challenging to assess the semantic alignment between the caption and the image. The caption uses phrases like ""so proud"" and ""great job"" which could be interpreted as genuine praise or sarcasm depending on the context. The use of quotation marks around ""efforts to fill the swamp with republican donors"" suggests a potential incongruity or critique, but without visual evidence, it is difficult to conclusively determine the presence of sarcasm. Therefore, the label is tentative and relies solely on textual analysis.","LABEL: NOT SARCASM
CONFIDENCE: Low
REASON: Without a detailed image description, it is challenging to assess the semantic alignment between the caption and the image. The caption uses phrases like ""so proud"" and ""great job"" which could be interpreted as genuine praise or sarcasm depending on the context. The use of quotation marks around ""efforts to fill the swamp with republican donors"" suggests a potential incongruity or critique, but without visual evidence, it is difficult to conclusively determine the presence of sarcasm. Therefore, the label is tentative and relies solely on textual analysis.",1,so proud of <user> 's efforts to fill the swamp with republican donors . great job .,SARCASM_SUBTLE,"1. **OVERALL SCENE**
   - The image features a prominent figure giving a thumbs-up gesture in front of a swamp background.

2. **OBJECTS & POSITIONS**
   - Top-left: Parts of trees and swamp.
   - Center: The person with a thumbs-up gesture.
   - Bottom-right: Text overlaid on the image. The swamp environment fills the background.

3. **PEOPLE**
   - Expression: The person has a neutral facial expression.
   - Clothing: Wearing a dark suit, white shirt, and red tie.
   - Position: The person occupies the central part of the image with a visible thumbs-up gesture.

4. **TEXT/GRAPHICS**
   - Top text: “DRAIN THE SWAMP”
   - Bottom text: “FILL IT WITH UNQUALIFIED DONORS”
   - Text is in bold white capital letters and spans the width of the image.

5. **COLORS & TONE**
   - Predominantly green and brown tones in the swamp background.
   - The person is dressed in dark and formal colors with a bright red accent.

6. **IRONY/INCONGRUITY**
   - The phrase “DRAIN THE SWAMP” paired with “FILL IT WITH UNQUALIFIED DONORS” suggests a contrast between a promise to remove corruption and the implication of replacing it with another form of incompetence."
820052289691860992,tonight ! 7-9 at 7308 melrose . it 's official rick & morty art show time . ( piece from jason chalker ),0,NOT SARCASM,High,"The caption straightforwardly promotes a Rick & Morty art show, aligning directly with the fantastical themes depicted in the image's comic-style panels. The image illustrates elements typical of the Rick & Morty ethos: whimsical adventures and extravagant scenarios featuring animated characters that fit the described caption’s context. Therefore, the post functions as a promotional statement without ironic or sarcastic intent, as there is no semantic gap between the caption promoting the art show and the image portraying Rick & Morty-style artwork.","LABEL: NOT SARCASM  
CONFIDENCE: High  
REASON: The caption straightforwardly promotes a Rick & Morty art show, aligning directly with the fantastical themes depicted in the image's comic-style panels. The image illustrates elements typical of the Rick & Morty ethos: whimsical adventures and extravagant scenarios featuring animated characters that fit the described caption’s context. Therefore, the post functions as a promotional statement without ironic or sarcastic intent, as there is no semantic gap between the caption promoting the art show and the image portraying Rick & Morty-style artwork.",0,tonight ! 7-9 at 7308 melrose . it 's official rick & morty art show time . ( piece from jason chalker ),NON_SARCASM_CLEAR,"1. **OVERALL SCENE**: The image is divided into three panels, each depicting cartoon-like characters and humorous, fantastical scenarios.

2. **OBJECTS & POSITIONS**:
   - **Top-Left**: Bright red text saying ""LOOK DOWN!""
   - **Top-Center**: A character is falling into a creature’s mouth.
   - **Middle-Center**: Space scene with a character holding a weapon on a spaceship.
   - **Middle-Left**: Another bright red text saying ""LOOK UP!""
   - **Bottom-Right**: Characters lounging on a large creature.
   - **Foreground**: The characters and creatures are prominently featured.
   - **Background**: Outer space, rocky terrain, grassy field.

3. **PEOPLE**:
   - Characters express exaggerated, cartoonish emotions; one looks surprised while being swallowed.
   - Characters in space appear adventurous and alert.
   - Clothing varies from futuristic space outfits to casual wear.
   - Positioned dynamically, falling, or taking action in their panels.

4. **TEXT/GRAPHICS**:
   - Three main attention lines: ""LOOK DOWN!"", ""LOOK UP!"", ""LOOK OUT!""
   - Additional text in the bottom panel about a ""SQUANCH"" adventure theme.

5. **COLORS & TONE**:
   - Vivid colors, with a playful and exaggerated cartoon style.
   - Red text stands out for emphasis.
   - Contrast between dark space and bright textiles.

6. **IRONY/INCONGRUITY**:
   - The dramatic text contrasts with the humorous and exaggerated scenarios.
   - The epic adventure suggested by the text is undercut by the comical and chaotic imagery.
   - Characters’ exaggerated predicaments play against the serious film-like text."
